National winegrape bearing area (hectares) in 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of planting,Algeria,Argentina,Armenia,Australia,Austria,Brazil,Bulgaria,Canada,Chile,Croatia,Cyprus,Czech Rep.,France,Georgia,Germany,Greece,Hungary,Italy,Luxembourg,Moldova,Morocco,New Zealand,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,Spain,Switzerland,Tunisia,United Kingdom,United states,Uruguay,Missing 9*,Global total 
code_country_iso3,DZA,ARG,ARM,AUS,AUT,BRA,BGR,CAN,CHL,HRV,CYP,CZE,FRA,GEO,DEU,GRC,HUN,ITA,LUX,MDA,MAR,NZL,PRT,ROU,RUS,SRB,SVK,SVN,ZAF,ESP,CHE,TUN,GBR,USA,URY,ZZZ,ZZZ
Asirtiko Red,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,22
Aspiran Bouschet,,308,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,308
Asprouda,,,,,,,,,,,,,,,,433,,,,,,,,,,,,,,,,,,,,,433
Assyrtiko,,,,,,,,,,,,,,,,1106,,,,,,,,,,,,,,,,,,,,,1106
Athiri,,,,,,,,,,,,,,,,1273,,,,,,,,,,,,,,,,,,,,,1273
Athiri (Red),,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,40
Aubin Blanc,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Aubun,,,,,,,,,,,,,1411,,,,,,,,,,,,,,,,,,,,,,,,1411
Aurore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,,,299
Auxerrois,,,,,,,,,,,,,1997,,77,,,,169,,,,,,,,,,,,1,,58,,,,2302
Avana,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,53
Avarengo,,,,,,,,,,,,,,,,,,1453,,,,,,,,,,,,,,,,,,,1453
Avesso,,,,,,,,,,,,,,,,,,,,,,,636,,,,,,,,,,,,,,636
Azal,,,,,,,,,,,,,,,,,,,,,,,3302,,,,,,,,,,,,,,3302
Babeasca Neagra,,,,,,,,,,,,,,,,,,,,80,,,,3642,,,,,,,,,,,,,3722
Babic,,,,,,,,,,1189,,,,,,,,,,,,,,,,,,,,,,,,,,,1189
Bacchus,,,,,,,,,,,,,,,3279,,,,,,,,,,,,,,,,0,,112,,,,3392
