National winegrape bearing area (hectares) in 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of planting,Algeria,Argentina,Armenia,Australia,Austria,Brazil,Bulgaria,Canada,Chile,Croatia,Cyprus,Czech Rep.,France,Georgia,Germany,Greece,Hungary,Italy,Luxembourg,Moldova,Morocco,New Zealand,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,Spain,Switzerland,Tunisia,United Kingdom,United states,Uruguay,Missing 9*,Global total 
code_country_iso3,DZA,ARG,ARM,AUS,AUT,BRA,BGR,CAN,CHL,HRV,CYP,CZE,FRA,GEO,DEU,GRC,HUN,ITA,LUX,MDA,MAR,NZL,PRT,ROU,RUS,SRB,SVK,SVN,ZAF,ESP,CHE,TUN,GBR,USA,URY,ZZZ,ZZZ
Dalkauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,100
Damaschino,,,,,,,,,,,,,1,,,,,380,,,,,1530,,,,,,,449,,,,,,,2360
Dawn Seedless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5
De Chaunac,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,186
De Cilindro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,15
Debina,,,,,,,,,,,,,,,,455,,,,,,,,,,,,,,,,,,,,,455
Deckrot,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,30
Decuerno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,36,134
Diagalves,,,,,,,,,,,,,,,,,,,,,,,1088,,,,,,,,,,,,,,1088
Dimrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602,602
Dimyat,,,,,,,7649,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,7718
Dindarella,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,9
Diolinoir,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,25,,,,,,31
Dolcetto,,,,,,,,,,,,,0,,,,,7156,,,,,,,,,,,,,,,,35,,,7191
Dolciame,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,6
Domina,,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,187
Dominga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0
Dona Branca,,,,,,,,,,,,,,,,,,,,,,,296,,,,,,,,,,,,,,296
Donzelinho Branco,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,59
Doradilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,24
Doradillo,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249
Doral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3
Dornfelder,,,,,,,,,,,,,,,3765,,,,,,,,,,,,,,,,,,,,,1,3766
Douce Noire,,14989,,,,,,,,,,,1,,,,,2642,,,,,,,,,,,,,,,,21,,,17653
Doukkali,,,,,,,,,,,,,,,,,,,,,16557,,,,,,,,,,,,,,,,16557
Doux d'Henry,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,26
Droujba,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3
Drupeggio,,,,,,,,,,,,,,,,,,617,,,,,,,,,,,,,,,,,,,617
Dunkelfelder,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,280
Dunze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Duras,,,,,,,,,,,,,972,,,,,,,,,,,,,,,,,,,,,,,,972
Durasa,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,23
Durella,,,,,,,,,,,,,,,,,,599,,,,,,,,,,,,,,,,,,,599
Durif,,,,181,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,923,,93,1197
Ederena,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Egiodola,,,,,,,,,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,315
Ehrenbreitsteiner,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,13
Ehrenfelser,,,,,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,34,,,,289
Ekigaina,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5
Ekim Kara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19
Elbling,,,,,,,,,,,,,1,,1042,,,,164,,,,,,,,,,,,0,,,656,,,1864
Elbling Rot,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4
Elvira,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,344
Emerald Riesling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,253,,,593
Emerald Seedless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,16
Emir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,480
Enantio,,,,,,,,,,,,,,,,,,1062,,,,,,,,,,,,,,,,,,,1062
Encruzado,,,,,,,,,,,,,,,,,,,,,,,291,,,,,,,,,,,,,,291
Erbaluce,,,,,,,,,,,,,,,,,,329,,,,,,,,,,,,,,,,,,,329
Ervi,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,5
Espadeiro,,,,,,,,,,,,,,,,,,,,,,,1478,,,,,,,204,,,,,,,1682
Etraire de l'Adui,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,8
Ezerfurtu,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,405
Ezerjo,,,,,,,,,,,,,,,,,3157,,,,,,,,,,,,,,,,,,,,3157
Faberrebe,,,,,,,,,,,,,,,1586,,,,,,,,,,,,,,,,,,,,,,1586
Falanghina,,,,,,,,,,,,,,,,,,1658,,,,,,,,,,,,,,,,,,,1658
Fer,,,,,,,,,,,,,1278,,,,,,,,,,,,,,,,,,,,,,,,1278
Fernao Pires,,,,,,,,,,,,,,,,,,,,,,,14206,,,,,,339,,,,,,,,14545
Fertilia,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,13
Feteasca Alba,,,,,,,,,,,,,,,,,971,,,4334,,,,18211,,,312,,,,,,,,,,23828
Feteasca Neagra,,,,,,,,,,,,,,,,,,,,,,,,1214,,,,,,,,,,,,,1214
Feteasca Regala,,,,,,,,,,,,,,,,,567,,,,,,,1700,,,312,,,,,,,,,,2578
Feunate,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Fiano,,,,,,,,,,,,,,,,,,758,,,,,,,,,,,,,,,,,,,758
Fiesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,161
Fileri,,,,,,,,,,,,,,,,249,,,,,,,,,,,,,,,,,,,,,249
Fino De Ribera Del Fresno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,,,,,,,332
Flame Seedless,,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,29,541
Flavis,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,12
Flora,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,6
Florental,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Foglia Tonda,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,40
Fogoneu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,36
Fokiano,,,,,,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,162
Fokiano (White),,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,57
Folgasao,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,409
Folle Blanche,,,,,,,,,,,,,2605,,,,,,,,,,,,,,,,,43,,,,,,,2648
Fontan,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Fontanara,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
Fonte Cal,,,,,,,,,,,,,,,,,,,,,,,355,,,,,,,,,,,,,,355
Forastera,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,445,,,,,,,543
Forcallat Tinta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2690,,,,,,,2690
Forgiarin,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
Forsellina,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,9
Fortana,,,,,,,,,,,,,,,,,,1252,,,,,,,,,,,,,,,,,,,1252
Francavidda,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,86
Frappato,,,,,,,,,,,,,,,,,,784,,,,,,,,,,,,,,,,,,,784
Fredonia,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,86
Freisa,,,,,,,,,,,,,,,,,,1415,,,,,,,,,,,,,,,,21,,,1436
Freisamer,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,1,,,,,,17
FruHroter Veltliner,,,,,626,,,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,,632
Fubiano,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
Fuella Nera,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4
Fumin,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,73
Furmint,,,,,1,,,,,,,,,,,,3480,,,,,,,,,,,,,,,,,,,,3481
Gaglioppo,,,,,,,,,,,,,,,,,,3592,,,,,,,,,,,,,,,,,,,3592
Gaillard,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Galbena de Odobesti,,,,,,,,,,,,,,,,,,,,,,,,546,,,,,,,,,,,,,546
Galego Dourado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,5,,,,,,,51
Gamaret,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,60,,,,,,71
Gamay de Teinturier Bouze,,,,,,,,,,,,,308,,,,,,,10,,,,,,,,,,,,,,,,,318
Gamay Noir,,,,,,,,263,,,,,34537,,,,,152,1,,,,,,,,,,36,1,1977,,,684,,144,37796
Gamay Teinturier de Chaudenay,,,,,,,,,,,,,267,,,,,,,,,,,,,,,,,,,,,,,,267
Gamay Teinturier Freaux,,,,,,,,,,,,,77,,,,,,,55,,,,,,,,,,,,,,,,,132
Ganson,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,28
Garandmak,,,931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931
Garanoir,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,50,,,,,,76
Garganega,,,,,,,,,,,,,,,,,,16549,,,,,,,,,,,,,,,,,,,16549
Garnacha Blanca,,,,,,,,,,,,,6461,,,,,,,,,,,,,,,,27,4333,,,,,,,10821
Garnacha Peluda,,,,,,,,,,,,,564,,,,,,,,,,,,,,,,,1460,,,,,,,2024
Garnacha Roja,,,,,,,,,,,,,2635,,,1,,,,,,,,,,,,,0,122,,,,,,4,2761
Garnacha Tinta,6040,,,2139,,,,,,,,,95717,,,,,6781,,,802,,,,,,,,40,95800,,2020,,4519,,129,213987
Garonnet,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7
Garrido Fino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,174
Gascon,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Gateta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,7
Generosa,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,9
Gewurztraminer,,,,521,363,140,971,237,121,,,,2758,,,,,541,12,2731,,141,,445,,,,,210,46,31,,,728,,675,10670
Giro,,,,,,,,,,,,,,,,,,537,,,,,,,,,,,,,,,,,,,537
Godello,,,,,,,,,,,,,,,,,,,,,,,929,,,,,,,560,,,,,,,1489
Goldburger,,,,,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309
Goldriesling,,,,,,,,,,,,,0,,10,,,,,,,,,,,,,,,,,,,,,,10
Golubok,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,50
Goruli Mtsvane,,,,,,,,,,,,,,224,,,,,,,,,,,,,,,,,,,,,,,224
Gouais Blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Gouget Noir,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Goustolidi,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,112
Grachen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3
Graciano,,,,,,,,,,,,,7,,,,,884,,,,,584,,,,,,,435,,,,,,,1910
Graisse,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,22
Gramon,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,14
Grand Noir,,,,,,,,,,,,,4,,,,,,,,,,47,,,,,,,895,,,,,,,945
Grasa de Cotnari,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,,,,,,,,850
Grasevina,,,,,4323,880,3602,,,16051,,1246,,,,,6677,2007,,,,,,15014,,33120,3895,3568,,1923,,,,,,,92306
Grassen,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Grechetto di Orvieto,,,,,,,,,,,,,,,,,,1177,,,,,,,,,,,,,,,,,,,1177
Grechetto Rosso,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,111
Greco,,,,,,,,,,,,,1,,,,,1324,,,,,,,,,,,,,,,,,,,1325
Greco Bianco,,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,,,,,,,,660
Greco Nero,,,,,,,,,,,,,,,,,,2715,,,,,,,,,,,,,,,,,,,2715
Grenache Rose,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,22
Grignolino,,,,,,,,,,,,,,,,,,1328,,,,,,,,,,,,,,,,25,,,1353
Grillo,,,,,,,,,,,,,,,,,,1803,,,,,,,,,,,,,,,,,,,1803
Gringet,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,74
Grolleau Gris,,,,,,,,,,,,,806,,,,,,,,,,,,,,,,,,,,,,,,806
Grolleau Noir,,,,,,,,,,,,,2201,,,,,,,,,,,,,,,,,,,,,,,,2201
Groppello di Mocasina,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,120
Groppello Gentile,,,,,,,,,,,,,,,,,,219,,,,,,,,,,,,,,,,,,,219
Gros Bec,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Gros Manseng,,,,,,,,,,,,,2160,,,,,,,,,,,,,,,,,,,,,,,,2160
Gruner Veltliner,,,,,17479,,,,,,,1700,,,,,1335,129,,,,,,,,,2960,,,,,,,,,,23604
Guardavalle,,,,,,,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,,168
Guillemot,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Harslevelu,,,,,,,,,,,,,,,,,1012,,,,,,,,,,,,284,,,,,,,,1296
Hegel,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,10
Helfensteiner,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,26
Herbemont,,,,,,1453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453
Heroldrebe,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,,,,,,,199
Himbertscha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0
Holder,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,13
Hondarrabi Beltza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,11
Hrvatica,,,,,,,,,,,,,,,,,,245,,,,,,,,,,,,,,,,,,,245
Huerta del Rey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,35
Humagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,9
Huxelrebe,,,,,,,,,,,,,,,1289,,,,,,,,,,,,,,,,,,,,,,1289
Ilichevskii Rannii,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,5
Imperial Seedless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Impigno,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,60
Incrocio Bianco Fedit 51,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11
Incrocio Bruni 54,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,12
Incrocio Manzoni 2.15,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,,,,,,,,166
Incrocio Terzi 1,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,65
Invernenga,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,32
Inzolia,,,,,,,,,,,,,,,,,,9259,,,,,,,,,,,,,,,,,,,9259
Isabella,,,,,,14285,,,,,,,,,,,,,,11401,,,,,,,,,,,,,,16,,1673,27376
Italia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706,706
Italica,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,,,,,,,,178
Ives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,23
Jacquere,,,,,,,,,,,,,1086,,,,,,,,,,,,,,,,,,,,,,,,1086
Jacquez,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,226
Jampal,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,127
Joannes Seyve,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
Joubertin,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Juan Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2077,,,,,,,2077
Jubilaumsrebe,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
Jurancon Blanc,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,24
Jurancon Noir,,,,,,,,,,,,,1294,,,,,,,,,,,,,,,,,,,,,,,,1294
Jurie,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Juwel,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,42
Kadarka,,,,,,,1619,,,,,,,,,,1012,,,,,,,,,,,,,,,,,,,,2630
Kalecik Karasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,601
Kanaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,172
Kangun,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850
Kanzler,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,53
Karalahna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
Karasakiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
Karinian,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,14
Kerner,,,,,,,,,,,,,,,6828,,,25,,,,,,,,,,,,,8,,,,,249,7111
Kernling,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,18
Khikhvi,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5
Kisi,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,20
Knipperle,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Koenigin der Weingaerten,,,,,,,567,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,750
Kokur Bely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641,641
Korinthiaki,,,,778,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,834
Koshu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,118
Kotsifali,,,,,,,,,,,,,,,,1148,,,,,,,,,,,,,,,,,,,,,1148
Kovidinka,,,,,,,,,,,,,,,,,1214,,,,,,,,,,,,,,,,,,,,1214
Krakhuna,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,36
Krassato,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,38
Kuldzhinskii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,269
Kunleany,,,,,,,,,,,,,,,,,1376,,,,,,,,,,,,,,,,,,,,1376
Lacoste,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Lacrima di Morro d'Alba,,,,,,,,,,,,,,,,,,652,,,,,,,,,,,,,,,,,,,652
Lado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
Lafnetscha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Lagrein,,,,,,,,,,,,,,,,,,471,,,,,,,,,,,,,,,,,,,471
Lairen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,,,,,,,298
Lakhegyi Mezes,,,,,,,,,,,,,,,,,567,,,,,,,,,,,,,,,,,,,,567
Lambrusca di Alessandria,,,,,,,,,,,,,,,,,,888,,,,,,,,,,,,,,,,,,,888
Lambrusco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,42
Lambrusco di Sorbaraa,,,,,,,,,,,,,,,,,,1409,,,,,,,,,,,,,,,,,,,1409
Lambrusco Grasparossa,,,,,,,,,,,,,,,,,,1720,,,,,,,,,,,,,,,,,,,1720
Lambrusco Maestri,,,,,,,,,,,,,,,,,,1362,,,,,,,,,,,,,,,,,,,1362
Lambrusco Marani,,,,,,,,,,,,,,,,,,2280,,,,,,,,,,,,,,,,,,,2280
Lambrusco Montericco,,,,,,,,,,,,,,,,,,262,,,,,,,,,,,,,,,,,,,262
Lambrusco Salamino,,,,,,,,,,,,,,,,,,4147,,,,,,,,,,,,,,,,,,,4147
Lambrusco Viadanese,,,,,,,,,,,,,,,,,,277,,,,,,,,,,,,,,,,,,,277
Landal,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,16
Landot,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Landot Noir,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Laska,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Lauzet,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Len de l'El,,,,,,,,,,,,,734,,,,,,,,,,,,,,,,,,,,,,,,734
Leon Millot,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,12,,,17
Leopoldo Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
Liatiko,,,,,,,,,,,,,,,,2476,,,,,,,,,,,,,,,,,,,,,2476
Liatiko(White),,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,70
Liliorila,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
Limnio,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,95
Limnio(White),,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,27
Listain de Huelva,,,,,,,,,,,,,,,,,,,,,,,596,,,,,,,,,,,,,,596
Listan Negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3291,,,,,,,3291
Listan Prieto,,,,,,,,,15181,,,,,,,,,,,,,,,,,,,,,11,,,,340,,,15532
Listrao Roxo,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,10
Loureiro,,,,,,,,,,,,,,,,,,,,,,,3939,,,,,,,454,,,,,,,4392
Lumassina,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,111
Macabeo,,,,,,,,,,,,,5223,,,,,,,,,,,,,,,,,42902,,,,,,,48125
Maceratino,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,122
Magliocco Canino,,,,,,,,,,,,,,,,,,579,,,,,,,,,,,,,,,,,,,579
Magliocco Dolce,,,,,,,,,,,,,,,,,,243,,,,,,,,,,,,,,,,,,,243
Maiolica,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,70
Maiskii Chernyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,77
Malaga Blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11
Malagousia,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,23
Malbo Gentile,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,106
Malegue,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Maliverne,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Malvasia Bianca di Basilicata,,,,,,,,,,,,,,,,,,875,,,,,,,,,,,,,,,,,,,875
Malvasia Bianca di Candia,,,,,,,,,,,,,,,,,,11921,,,,,,,,,,,,,,,,968,,,12889
Malvasia Bianca Lunga,,,,,,,,,,,,,,,,,,3937,,,,,,,,,,,,,,,,,,,3937
Malvasia Branca de Sao Jorge,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,55
Malvasia del Lazio,,,,,,,,,,,,,,,,,,2366,,,,,,,,,,,,,,,,,,,2366
Malvasia di Candia Aromatica,,,,,,,,,,,,,,,,,,1643,,,,,,,,,,,,,,,,,,,1643
Malvasia di Casorzo,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,98
Malvasia di Lipari,,,,,,,,,,,,,,,,,,494,,,,,,,,,,,,21,,,,,,,516
Malvasia di Schierano,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,,,,,,,,,181
Malvasia Fina,,,,,,,,,4305,,,,,,,,,,,,,,2328,,,,,,,469,,,,,,,7102
Malvasia Nera di Basilicata,,,,,,,,,,,,,,,,,,754,,,,,,,,,,,,,,,,,,,754
Malvasia Nera di Brindisi,,,,,,,,,,,,,,,,,,2826,,,,,,,,,,,,348,,,,,,,3174
Malvasia Preta,,,,,,,,,,,,,,,,,,,,,,,1157,,,,,,,,,,,,,,1157
Malvasia Rosa,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,111
Malvazija Istarska,,,,,,,,,,7134,,,,,,,,425,,,,,,,,,,,,,,,,,,,7559
Mammolo,,,,,,,,,,,,,639,,,,,138,,,,,,,,,,,,,,,,,,,777
Mandilaria,,,,,,,,,,,,,,,,845,,,,,,,,,,,,,,,,,,,,,845
Mandon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,,,,,,261
Manseng Noir,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,5,,,,,,,10
Manto Negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,,,,,,,470
Manzoni Bianco,,,,,,,,,,,,,,,,,,8290,,,,,,,,,,,,,,,,,,,8290
Marechal Foch,,,,,,,,109,,,,,0,,,,,,,,,,,,,,,,,,,,,64,,,173
Mariensteiner,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,9
Marmajuelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,37
Marsanne,,,,216,,,,,1,,,,1198,,,,,49,,,,,,,,,,,,,33,,,15,,,1512
Marselan,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,176
