National winegrape bearing area (hectares) in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of plantin,Algeria,Argentina,Armenia,Australia,Austria,Brazil,Bulgaria,Canada,Chile,China,Croatia,Cyprus,Czech Rep.,France,Georgia,Germany,Greece,Hungary,Italy,Japan,Kazakhstan,Luxembourg,Mexico,Moldova,Morocco,Myanmar,New Zealand,Peru,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,Spain,Switzerland,Thailand,Tunisia,Turkey,Ukraine,United Kingdom,United States ,Uruguay
code_country_iso3,DZA,ARG,ARM,AUS,AUT,BRA,BGR,CAN,CHL,CHN,HRV,CYP,CZE,FRA,GEO,DEU,GRC,HUN,ITA,JPN,KAZ,LUX,MEX,MDA,MAR,MMR,NZL,PER,PRT,ROU,RUS,SRB,SVK,SVN,ZAF,ESP,CHE,THA,TUN,TUR,UKR,GBR,USA,URY
Ar99,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Aramon Noir,,,,,,,,,,,,,,2877,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
Arany Sarfeher,,,,,,,,,,,,,,,,,,1133,,,,,,,,,,,,,,,,,,,,,,,,,,
Argelina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Ariana,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arinarnoa,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Arinto de Bucelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4446,,,,,,,,,,,,,,,
Arinto Roxo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,
Arjuncao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Arneis,,,,153,,,,,,,,,,,,,,,970,,,,,,,,,,,,,,,,,,,,,,,,,
Arnsburger,,,,,,,,,,,,,,,,0,,,,,,,,,,,2,,28,,,,,,,,,,,,,,,
Arriloba,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Arvesiniadu,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
Arvine,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,154,,,,,,,
Asirtiko Red,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspiran Bouschet,,3042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asprouda,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assaraky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Assyrtiko,,,,,,,,,,,,,,,,,902,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athiri,,,,,,,,,,,,,,,,,748,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aubun,,,,,,,,,,,,,,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelius,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,
Aurore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,
Auxerrois,,,,,,,,38,,,,,,2351,,160,,,,,,183,,,,,,,,,,,,,,,,,,,,9,,
Avana,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
Avarengo,,,,,,,,,,,,,,,,,,,987,,,,,,,,,,,,,,,,,,,,,,,,,
Avesso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,,,,,,,,,,,,,,,
Azal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072,,,,,,,,,,,,,,,
Babeasca Gris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,,,,,,,,,,,,,,
Babeasca Neagra,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,3042,,,,,,,,,,,,,,
Babic,,,,,,,,,,,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babica,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babosa de Madere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Bacchus,,,,,,,,21,,,,,,,,1910,,0,,,,,,,,,,,,,,,,,,,,,,,,116,,
Baco Blanc,,,,,,,,,,,,,,773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baco Noir,,,,,,,,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,
Baga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4108,,,,,,,,,,,,,,,
Bailey,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bakator Roz,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Baratuciat,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Barbera,,546,,116,,5,,1,4,,,,,,,,,,20524,,,,,,,,,,,,,,,134,51,,,,,,,,2798,
Barbera Bianca,,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,
Barbera Sarda,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,
Barkhatnyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,
Baroque,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barreto de Semente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Barsaglina,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
Bastardo Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
Bastardo Magarachsky,,,,,,,,,,,,,,,,,,,,,,,,1040,,,,,,,,,,,,,,,,,1330,,,
Batily,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
Bayanshira,,,,,,,,,,,,,,,,,,,,,645,,,,,,,,,,,,,,,,,,,,,,,
Beba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,3036,,,,,,,,
Bellone,,,,,,,,,,,,,,,,,,,511,,,,,,,,,,,,,,,,,,,,,,,,,
Bequignol Noir,,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bianca,,,,,,,,,,,,,,,,,,2922,,,,,,15,,,,,,,3513,,,,,,,,,,,,,
Biancame,,,,,,,,,,,,,,,,,,,2599,,,,,,,,,,,,,,,,,,,,,,,,,
Bianchetta Trevigiana,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
Bianco d'Alessano,,,,,,,,,,,,,,,,,,,419,,,,,,,,,,,,,,,,,,,,,,,,,
Biancolella,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,
Biancone di Portoferraio,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,
Biborkadarka,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,
Bical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924,,,,,,,,,,,,,,,
Black Queen,,,,,,,,,,,,,,,,,,,,469,,,,,,,,,,,,,,,,,,17,,,,,,
Blanc du Bois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,
Blanca Ovoide,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blattner Reds,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blattner Whites,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blauburger,,,,,897,,,,,,,,,,,0,,435,,,,,,,,,5,,,,,,,,,,,,,,,,,
Blauer Portugieser,,,,,1621,,,,2,,42,,622,,,,,1216,167,,,,,,,,,,36,,,,92,,,,,,,,,,,
Blauer Wildbacher,,,,,365,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Blaufrankisch,,,,,3228,,,4,,,558,,1160,,,,,7998,59,,,,,,,,,290,,760,,,1378,680,,,3,,,,,,22,
Boal Barreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Boal Vencedor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Bobal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80120,,,,,,,,
Bogazkere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106,,,,
Bogdanusa,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombino Bianco,,10,,,,,,,,,,,,,,,,,1229,,,,,,,,,,,,,,,,,,,,,,,,,
Bombino Nero,,,,,,,,,,,,,,,,,,,1201,,,,,,,,,,,,,,,,,,,,,,,,,
Bonamico,,167,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,
Bonda,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
Bondola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,
Bordo,,,,,,8287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borracal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,523,,,,,,,,
Bosco,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,
Bourboulenc,,1,,,,,,,,,,,,596,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
Bouvier,,,,,234,,,,,,,,,,,,,10,,,,,,,,,,,,,,,6,,,,,,,,,,,
Bracciola Nera,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,
Brachetto del Piemonte,,,,,,,,,,,,,,,,,,,1460,,,,,,,,,,,,,,,,,,,,,,,,,
Branco Especial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Branco Sr. Joao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Branco Valente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Brandam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,,,,,,,,,,,,,,,
Breidecker,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
Brianna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
