"Commune","Cave coopérative","Qté tot livrée à la cave coop (hl)","Part Vins AOP rouge/rosé livrée (%)","Part Vins AOP blanc livrée (%)","Part Vins IGP rouge/rosé livrée (%)","Part Vins IGP blanc livrée (%)","Part Vins sans IG et autres rouge/rosé livrée (%)","Part Vins sans IG et autres blanc livrée (%)","code"
"84- CAROMB","84-CAVE SAINT MARC","26260","84.3","3.1","10.7","1.6","0.3","0","84"
"84- MAUBEC","84-SCA CAVE DU LUBERON","19358","36.1","0.6","58.9","1.8","2.5","0","84"
"84- MORMOIRON","84-SCA TERRAVENTOUX","18989","84.5","2.2","12","1.3","0","0","84"
"84- ANSOUIS","84-CAVE DES COTEAUX","27561","20.3","4.1","65.1","10.5","0","0","84"
"84- VACQUEYRAS","84-CAVE LES VIGNERONS DE VACQUEYR","23068","73","2.7","21.2","2.1","0","1","84"
"84- COURTHEZON","84-CAVE COOPERATIVE LE CELLIER DE","22841","44","2.4","50.4","3.1","0.1","0","84"
"84- VILLEDIEU","84-CAVE LA VIGNERONNE VILLEDIEU","26599","74.3","2.9","18.5","4.3","0","0","84"
"84- RICHERENCHES","84-LE CELLIER DES TEMPLIERS","18148","90.6","4.9","4.5","0","0","0","84"
"84- SERIGNAN-DU-COMTAT","84-CAVE COOP LES COTEAUX DU RHONE","38302","53.7","1.5","40","4.3","0.4","0","84"
"84- SABLET","84-CAVE COOPERATIVE LE GRAVILLAS","11609","83.4","3.2","13.1","0.3","0","0","84"
"84- SAINTE-CECILE-LES-VIGNES","84-CAVE DES VIGNERONS REUNIS","72009","76.7","2.9","18.9","1.5","0","0","84"
"84- BEAUMONT-DU-VENTOUX","84-CAVE COOPERATIVE DE BEAUMONT D","9557","74.4","2.6","18.5","1.4","3.1","0","84"
"84- CAIRANNE","84-COOP. DES COTEAUX DE CAIRANNE","14375","90.5","5.2","4.3","0","0","0","84"
"84- CABRIERES-D'AIGUES","84-COOP CABRIERES D AIGUES","14529","49.9","3.6","32.8","5.8","2.3","5.5","84"
"84- RASTEAU","84-CAVE DES VIGNERONS DE RASTEAU","19022","95.5","1.9","2.6","0","0","0","84"
"84- CHATEAUNEUF-DE-GADAGNE","84-SCA TERRES D AVIGNON","18090","83","2.3","14.1","0.5","0","0","84"
"84- BEAUMES-DE-VENISE","84-COOP BEAUMES DE VENISE","28980","63.1","20","12.8","4.1","0","0","84"
"84- SAINTE-CECILE-LES-VIGNES","84-CAVE COOPERATIVE CECILIA","29547","82.1","4","12.3","1.5","0.1","0","84"
"89- SAINT-PERE","89-SCA HENRI DE VEZELAY","1153","15.3","84.2","0","0","0.4","0.2","89"
"89- SAINT-BRIS-LE-VINEUX","89-SCA CAVES BAILLY LAPIERRE","11725","0.3","97.8","0","0","0.3","1.6","89"
"89- CHABLIS","89-CAVE COOP LA CHABLISIENNE","56006","0.4","99.6","0","0","0","0","89"
