Nom_com,Num_com,Viniféra de table,Miscat de hambourg,Chasselas blanc,Chasselas rose,Viniféra divers de cuve,Madeleine royale,Alicantes Bouschet,Aligoté,Altesse,Aramon noir,Aramon blanc,Cargignan noir,Cabernet sauvignon,Chenin blanc,Chardonnay,Cinaut,Clairette blanche,Folle blanche,Gamay,Gamay freau,Gamay Teinturier,Grand noir de la calmette,Grenache noir,Grolleau,Jaquère,Marsanne,Gros meslier,Malvoisie rose du po,mondeuse blanche,Mondeuse noire,Muscat blanc pts grain,Petit bouchet,Pinot Gris,Pinot blanc vrai,Pinot noir,Portugais bleu,Savagnin blanc traminer,Semillon,Syrah,carignan bouschet,Chatus,Corbeau,Durif,Etraire de la dui,,Limberger,Geuche noir,Gouais blanc,Hibou,St pierre dore,Molette blanche,Mornen noir,Olivette blanche,Persan,Roussanne,Riesling,Sylvaner,Verdesse,Servanin,Hybrides divers de cuves,Alicante terra 20,Black defiance,Rudelin divers,Baco 1,Bertille seyve divers,Burdin diverrs,Canada,Castel divers,Couderc Divers,Gaillard divers,Landot divers,Oberlin divers,Ravat divers,Seibel Divers,Seyve villard divers,Rupestris du lot,5 BB teleki,44 53 M,Noah,Othello,Isabelle,Jacquez,Clinton,plantier,Cépages indéterminé,Total
Bassens,73031,,,652,,,,790,,,,,,,,3875,,,,2394,,,1650,,,61561,,870,,,4512,,,,,,,,,,,,25035,370,,,,,370,,,,,,6780,,,,,,1300,,,,3068,,,,,690,200,,,,83207,900,,,,1749,300,,,700,,2812,203785
la bathie,73032,36,,328,,215,,4330,,,,,,,,,,,,120,,,,,,5200,,106,,,58144,,,,,120,,,,,,,265,924,,,,,,,,,,,,,,,,54,2539,,,,6340,7872,,,,463,,,159,1483,90041,1404,,,,6462,190,326,,49284,,4354,240759
Bellecombe,73038,,,533,,,,1336,,,,,,,,,,,,2640,,,10031,,,302,,,,,345,,,,,,,,,,,,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17829,,,,,,,,,,,2006,35797
Belleentre,73038,,,,,,,,,,,,,,,,,,,,,,325,,,,,,,,,,,,,,,3284,520,,,,2307,,,,,,,,,1552,,,240,,,,,4006,203,,,,5729,260,,,,,,,,,1072,,,,,,,,,,,5072,24570
Belmont tramonet,73039,,,1355,,300,,1668,614,1901,,,,,,1223,470,,,19980,,,2628,,,25521,,,,,34030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,7576,645,1920,,1168,63613,5248,,,,19422,622,,,6799,,8004,205193
Betton bettonet,73041,,,1095,,,,974,,,,,,,,,,,,1631,,,8954,,,17065,,,,,6122,,,224,,,235,,,,,946,27285,,745,,,,,,,,,,1161,,,,,,,,,,296,,,,,840,,,,,9227,,,,,,3616,,,,,2540,82956
Billieme,73042,,,,,705,,,17534,7961,,,,,,3787,,,,11445,,1436,,,,57112,,,,,27553,,,,,,,,,,,,151999,,,,,,1810,,,655,,,,388,,,,,3315,,,,,,,,,,,1260,,2150,2877,,,,,,306,,,,,,292293
La biolle,73043,,,1135,,,,4352,3232,907,,,,,,1421,,650,,10725,,,3358,,,32226,,600,,,21369,499,,140,,390,,,,,,,57771,,,,,,,,,110,,,995,,,,,,21466,861,,,5462,187,,,,6288,704,585,195,,113126,3664,,,,6639,1328,,,4043,,16722,321150
Le Bois,73045,,,4416,,15188,,5620,,,,,,,,,,,,14237,,,14948,,,1076,,,,,2760,,,,,,,,,,,,1774,,,,,198,,1858,,,,,,,,,,,,,,,,,,,,504,,,,423,2512,,,,,,,,,,,10299,75813
Bonneval,73047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19080,19080
