Nom_com,Num_com,Viniféra de table,Miscat de hambourg,Chasselas blanc,Chasselas rose,Viniféra divers de cuve,Madeleine royale,Alicantes Bouschet,Aligoté,Altesse,Aramon noir,Aramon blanc,Cargignan noir,Cabernet sauvignon,Chenin blanc,Chardonnay,Cinaut,Clairette blanche,Folle blanche,Gamay,Gamay freau,Gamay Teinturier,Grand noir de la calmette,Grenache noir,Grolleau,Jaquère,Marsanne,Gros meslier,Malvoisie rose du po,mondeuse blanche,Mondeuse noire,Muscat blanc pts grain,Petit bouchet,Pinot Gris,Pinot blanc vrai,Pinot noir,Portugais bleu,Savagnin blanc traminer,Semillon,Syrah,carignan bouschet,Chatus,Corbeau,Durif,Etraire de la dui,,Limberger,Geuche noir,Gouais blanc,Hibou,St pierre dore,Molette blanche,Mornen noir,Olivette blanche,Persan,Roussanne,Riesling,Sylvaner,Verdesse,Servanin,Hybrides divers de cuves,Alicante terra 20,Black defiance,Rudelin divers,Baco 1,Bertille seyve divers,Burdin diverrs,Canada,Castel divers,Couderc Divers,Gaillard divers,Landot divers,Oberlin divers,Ravat divers,Seibel Divers,Seyve villard divers,Rupestris du lot,5 BB teleki,44 53 M,Noah,Othello,Isabelle,Jacquez,Clinton,plantier,Cépages indéterminé,Total
Hauteville,73133,,,1657,,,,2581,,,,,,,,,,,,7513,780,,17965,,,40801,,,,,12759,,,,,,,410,,,,,44507,,710,650,,,,,,,,,9175,,,,,,350,,,,1604,,,,,420,,1596,,200,23089,1890,,,,,,,,,,,168657
Hermillon,73135,,,,,,,22271,,,2343,,,,,,,,,,,,37921,,,715,,,,,,,,,,263,,,,,,,,10739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42089,,,,,,,,,,,,116341
Jacob Bellecombette,73137,,,443,,,,5099,,497,,,,,,624,,,,240,,,2170,,,28560,,,,,498,,,,,,,,,,,,30514,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,20263,,,,,,,,,,,,89088
Jarrier,73138,,,,,,,10550,,,,,,,,,,,,252,,,12521,,,865,,,,,345,,,,,,,,,,,,248,3300,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,47375,,,,,,,,,,,16317,91873
Jongieux,73140,,,1850,,,,,24502,159189,,,,,,,,,,30139,,5892,,,,151049,357,,,,53928,,,600,,1675,,4134,,,,,163807,,,,,,1250,,,4021,,,,,,,,,9163,,,,300,,,,,,64,778,,,49802,1450,,,,930,1656,,,,,430,666966
Laissaud,73141,,,,,,,,3100,2205,,,,,,,,385,,4550,,,,,,96584,,,,,3750,,,,,2450,,,,,,,65487,,6873,2440,,,,,,,,,27178,,,,,,,,,,14393,,,,,,500,7505,,,7485,,,,,1040,1630,,,100,,,247655
Lepin le lac,73145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,300,,,600
Loisieux,73147,,,660,,1268,,1840,48,è51,,,,,,1123,,,,4284,,3013,,,,11827,,,,,7961,,130,,,,,,,,,,50396,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,19967,1963,,,,,,,,,,2784,109742
Lucey,73149,,,,,,,125,,14113,,,,,,1835,,,,540,,,,,,30311,,,,,5580,,,,,,,,,,,,12675,,,,,,,200,,,,,,,,,,,,,,,1390,,,,,,,620,,610,17802,800,,,,,,,,,,43629,130230
Macot,73150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8091,8091
Les marches,73151,,,,,,6375,9575,2000,7385,,,,,,300,,3765,,3500,,,24686,,,1229603,,,,,14500,,,,,,,,,,,,6620,,13720,,,,,,,,,,3100,,,6190,400,,7691,,,,620,,,,,,,1505,,6200,124589,800,,,,,,,,,,,1473124
Marcieux,73152,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,,,2053,,,,,281,2527,,,,2800,,,,,1373,690,,,1136,,,12330
Marthod,73153,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,398,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,125,,,,,,125,,,,4008,,,,,,,,,,,300,5276
Mercury Gemilly,73154,,,200,,,,,,,,,,,,,,,,700,,,,,,6459,,,,,29334,,,,,,,,,,,,7310,,,,,,,,,,,,,,,,,,9055,,,,,430,,,,,,,,80,29787,1735,,,,,,,,,,3560,88650
Mery,73155,,,694,,,,12665,160,,,,,,,75,,,,3811,,,3881,,,114431,,,,,28003,,,,,,,,,,,,145013,396,725,,,,,,,,,,11077,,,,,,,,,,,,,,,,,,,1453,31861,1679,,,,3422,6972,,,,,641,366959
Meyrieux trouet,73156,,,600,,122,,400,,399,,,,,,962,,,,4419,256,6623,851,,,12405,,,,,6076,,,,,,,,,,,,109334,,,,,,,,,300,,,190,,,,,,4257,,,,3527,,,,,,3010,194,,740,52073,,,,,597,1349,,,,,,208684
Mognard,73158,,,1119,,,,1137,360,,,,,,,643,,,,1125,,120,160,,,2885,,,,,474,,,,,,,,,,,,14376,,,,,,,,,200,,,2042,,,,225,,720,123,,,510,,,225,,1341,348,,,,24910,150,,,,4237,3913,,,1727,,800,63870
Les Mollettes,73159,,,,,300,,1390,,,,,,,,50,,,,,,,4360,,,214750,,824,,,,,,445,,180,1043,,,,,,118036,,2947,195,,,,,,,,,29353,,,,,,,,,,4331,,,,,1634,,,,4132,14458,,,,,363,7541,,,,,5209,411541
Montagnole,73160,,,200,,,,1850,,,,,,,,,,,,2400,,,4350,,,23050,,,,,,,,,,,,,,,,,10000,300,400,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,150,18080,1500,,,,,200,,,,,,62600
Montagny,73161,,,409,,443,,1066,,,1707,,,,,,,,,2033,,,9102,,,435,,,,,1770,,223,,,,1233,,,,,,2741,9663,,,,,,300,,,,,,,,,,,14765,,,,100,,,,,163,,,,,7897,,,,,,122,,,,,45,54217
Montailleur,73162,,,,,,,644,,,,,,,,,,,,458,,,,,,17859,,,,,19336,,,,,,,,,,,,6647,,,,,,,,,,,,178,,,,,,496,,,,360,,,,,,,,,,87137,3991,,,,563,6145,,,,,,143814
Montaimont,73163,,,,,,,3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965,,,,,,,,,,390,67978,73583
Montcel,73164,,,,,100,,,200,,,,,,,,,,,2355,,,,,,900,,,,,215,,,,,,,,,,,,2700,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,2139,,286,27238,1165,,,,,,,,,,4418,41866
Montendry,73166,,,,,,,200,,,,,,,,,,,,,,,245,,,1730,,,,,4138,,,,,,,,,,,,7299,100,,,,,,,,,,,,,,,,,820,,,,51,,,,,,,,,,11708,465,,,,560,,,,270,,2050,29636
Montgellafrey,73167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74769,74769
Montgilbert,73168,,,,,,,8642,,527,,,,,,,,,,,,,2818,,,3398,,,,,31376,,,,,,,,,,,,8108,,,,725,,,,,,,,3943,,,,,,530,416,,,984,332,,,,1152,2062,,,124,40572,1320,,,,2044,,,,4501,,786,114360
Montgirod,73169,,,,,,,7462,,,141,,,,,,,,,811,,35,6202,,,,,,,,,55,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14420,78,,,,,,,,,,9721,39110
Monthion,73170,,,,,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,,,1897,42,,,,297,,,,,6286,1365,,,,4968,,745,,13694,,,30649
Monmeillan,73171,,,,,,,,,,,,,,,740,,,,,,,,,3010,22862,,,,,18983,,,,,,,,,,,,1120,,,,,,,,,,,,,,,,,,6800,,,,300,,,,,,372,,,,17537,,,,,2696,503,,,180,,3920,79023
Montricher,73173,,,,,3772,,21914,,68,3287,,225,,,,,,,714,,,17202,,,300,,,,,2440,104,,,,,,,,,,,722,851,,,,,,,,,,,1946,,,,,,,,,,,,,,,120,,,,,19567,714,,,,,149,,,,,1971,76066
Montsapey,73175,,,,,,,1096,,,,,,,,,,,,,,,850,,,184,,,,,5230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4049,,,,,31198,,,,,114,,,,575,,,43296
Montvernier,73177,,,4686,,135,,8325,,,1958,,,,,,,,,8859,,,7333,,,1292,,,,,1493,,,,,,,,,,,,4605,2019,,,,,,,,,,,71,,,,,,,,,,,,,,,98,,,,,14894,,,,,,80,,,,,,55848
La Motte Servolex,73179,,,195,,,,10671,,,,,,,,11812,,315,,10804,,,16958,,,98248,18904,1486,,,18278,,,3863,,,,,,,,,92367,1620,2430,,,,,,,200,,,22484,,,,,,,17236,,,17188,,,1300,,248107,2900,3210,,1645,469686,30619,,,,118703,1190,,,1960,,400,1224779
Motz,73180,,,394,,855,,,150,14140,,,,6586,,3950,,2945,,36965,,592,870,,,110936,,,3832,,260412,,,,,,,,126,,,,3782,,,,,,,,,24943,,,,,,,,,,,,,,,,,,,,,,,24481,1297,,,,,880,,,,,400,498536
Moutiers,73181,,,,,,,,,,,,,,,,,,,560,,,,,,,,,,,,,,,,,,,,,,,319,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,15682,17201
Mouxy,73182,,,,,,,2667,,,,,175,,,670,,,,10222,,,5892,,,64466,,,,,27306,,,,,,,,,,,,54701,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,940,,,44945,370,,,,2354,2647,,,,,41985,259515
Myans,73183,,,300,352,1130,,2529,,,,,,,,,,300,,,,,15310,,,545909,,,,,13628,300,,,,400,,,,,,,17037,746,,,,,,,,,,,,,,,,,3596,,,,580,,,,,,,,,,10995,,,,,,1480,,,,,6505,621097
Naves,73184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20647,20647
Notre dame de briancon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5341,,,,,,,,,,,4025,9516
Notre dame des Millieres,73188,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6576,,,,340,3602,732,,814,,36529,,,,,22964,245,830,,82698,,,155364
Notre dame du Cruet,73189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45335,45335
Notre dame du pré,73190,,,,,,,13672,,50,48,,766,,,,,,,947,,,1899,,,,,,,,4577,,,,,,,,,,,,465,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6835,,,,,,77,,,,79,5165,34844
Novalaise,73191,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,1435,,,,,135,6423,600,260,,8810,,,,,3841,,,,1360,300,120,23644
Onteix,73193,,,,,519,,,,1410,,,,,,,,,,589,,110,,,,9332,,,,,9953,,,,,,,,,,,,13202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3880,,,,,99,,,,,,1743,40837
Orelle,73194,,,,,1100,,400,,,450,,,,,,,,,300,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,,,,,,250,,,,,,,,,,,6143,12143
Outrechaise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,180,,,,,,,400
Pallud,73196,,,1267,,,,2207,,,,,,,,,,374,,994,,,1037,,,9965,,450,,,58245,,,,,,,,,,,,18964,,,,,,,,,,,,44,,,,,409,,,,,,,,,,,,,,,17822,,,,,210,,,,130,90,1943,114151
La Perrière,73198,,,,,1167,,,,,,,,,,,,,,9539,,,946,,,,,,,,30983,,,,,,,,,,,,1820,7869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12573,64897
Petit coeur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35767,35767
Planaise,73200,,,,,,,934,,,,,,,,,,,,870,,,8368,,,68621,,,,,1575,,,,,,,,,,,,51316,,,,,,,,,,,,5391,,,400,,,8035,,,,800,,,,,575,,,,680,40144,,,,,1450,18913,,,,,,208072
Plancherine,73202,,,120,,205,,48,,,,,,,,,,,,403,,52,33,,,1909,,165,,,14539,,,,,,,,,,,,14288,111,,,,,,,,,,,,,,,,354,673,,,,156,,,,,,,,,70,8192,77,,,,938,165,,,126,,722,43346
Pontamafrey,73203,,,743,,1906,,10238,,,339,,,,,,973,,,1182,,,9178,,,2093,,,,,2002,,,,,,,,,,,,3676,5854,305,,,,,,,,,,258,,,,,,97,,,,,,,,,,,,,,12212,,,,,,,,,,,15124,66180
Pont de beauvoisin,73204,,,,,300,,800,,,,,,,,,,,,,,,,,,320,,,,,850,,,,,,,,,,,,,480,,,,,,120,,,,,,,,,,,,,,,200,630,,,,500,,400,,,14050,1200,,,,,,,,,,,19850
Presle,73207,,,210,,,,6882,,,,,410,,,,,,,3123,,,3255,,,4973,,,,,2273,,,,,150,,,,,,,16289,654,,230,,,,,,,,,7485,,,,,190,,,,,80,,,,,,244,,,,29254,,,,,810,,,,1058,,49056,126626
Pugny Chatenod,73208,,,,,,,2060,,,,,,,,,,,,1850,,,,,,4202,,,,,8855,,,,,,,,,,,,4445,,,,,,,,,350,,,,,,,,,1900,,,,,,,,,,,250,,350,31254,150,,,,620,3000,,,,,17077,76363
Pussy,,,,,,,,732,,,,,,,,,,,,,,,,,,,,,,,5095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,,,,,,,,,13869,118,,,,,,,,,48,9290,29634
Puygros,73210,,,,,,,1814,,,,,,,,,,,,250,,,,,,68976,,,,,8425,,,,,,,,,,,,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11436,,,,,,,,,,,,91887
Queige,73211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,1750,5242
Randens,73212,,,,,,,6822,,,,,,,,,,,,415,,,1001,,,6415,,,,,31576,,,,413,142,,,,,,,3840,,,,2844,,,,,,,,1212,,,,,,,,,,2579,440,,,,710,,,,,57646,230,,,,4501,870,,,12784,,445,134885
La ravoire,73213,,,1602,260,,,4861,100,,,,,,,4506,,,,1074,,,9196,,,71086,,,,,680,,,,,560,,,,,,,41478,640,724,,,,753,,,,,,3321,,,,,,,235,,,790,,,,,200,3133,180,75,180,109837,1093,,,,1655,3025,190,,990,,42588,305012
Rochefort,73214,,,250,,,,1472,,1841,,,,,,,,,,6988,,,5277,,,5320,,,,,12066,,,,,398,,,,,,,998,180,543,,,,,,,,,,,,,,,3971,,719,,,1437,,,,,19075,887,1308,392,278,87318,3623,,,,22197,,,,6211,,8425,191174
La rochette,73215,,,2004,,,,3262,,,,,,,,,,,,4378,,,,,,36900,,170,,,26830,,,,,400,,,,,,,47978,,,,,,,,,,,,2898,,,,,,24796,,,,496,,,,,130,1534,,180,20,17063,770,,,,2046,9244,,,480,,4903,186482
Rognaix,73216,,,,,,,,,,,,,,,,,,,,,,50,,,424,,,,,757,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,80,1150,,,283,239,,,,100,100,,,250,14710,889,,,,4592,141,,165,16998,,146,41454
Rotherens,73217,,,725,,,,1580,,,,,,,,,,,,2070,,,700,,,10795,,362,,,1478,,,,,,,,,,,,21061,1120,,1040,,,60,,,,,,11774,,,,,,1361,60,,,2240,,,,,,100,,,,5110,460,,,,,650,240,,1420,,,64406
Ruffieux,73218,,,240,,250,,10353,5245,4990,,,,145,,4177,,7455,,105411,,,1137,,,152087,,,3500,,120507,,,,3300,,,,120,,,,31797,,,,,,,,,10338,,,,,,,385,,8723,,,,160,,,,,150,,,625,,18455,2315,,,,390,1735,,,,,2060,496050
Saint alban de Montbel,73219,,,132,,,,1450,400,,,,,,,,,,,200,,,,,,320,,,,,,,,,,,,,,,,,460,,,,,,,,,,,,,,,,,,1170,,,,2555,,,,,,2745,,,,2590,,,,,2110,,,,3580,,240,17952
Saint alban des hurtieres,73220,,,,,257,,,,,,,,,,,,,,,,,2435,,,4057,,,,,5323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,713,,,,,7102,140,,,,75732,720,,,,16070,,,,88644,,3820,205563
Saint alban des villards,73221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,715
saint alban leysse,73222,,,2473,,,420,3904,1330,6556,,,,,,3831,,,,14917,,,4626,,,224873,,,,,26812,250,,,,,,,425,,,,115288,266,1835,,,,,,,1587,,,53246,,,,,,1374,310,,,5262,,,,,,3115,470,,,74749,,,,,1370,395,,,395,,,550079
Saint andré,73223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,,,,,,,,,,,,,,,,,,,,,,,,,,1550
saint avre,73224,,,,,260,,1990,,,,,,,,,,,,400,,,700,,,300,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,,,,,,,,,,955,63169,68652
Saint baldoph,73225,,,,,,,5337,,2407,,,,,,,,,,3138,,,40951,,,254117,,,,,9956,,,,,,,,,,,,24750,3290,,,,,,,,,,,1370,,,,,,,,,,,,,,,,,,,1781,54991,2819,,,,,1390,,,,,,406297
Saint beron,73226,,,900,,,,4280,,,,,,,,400,,,,500,,,600,,,9315,,,,,26300,,,,,500,,,,,,,7548,1600,,,,,,,,,,,200,,,,,,,,,,2440,900,,250,,8710,1700,4300,,300,110565,5885,,,,7470,1390,,,,,4745,200798
Saint Cassin,73228,,,,,,,4057,,,,,,,,2237,,,,2916,,,4121,,,22322,,,,,500,50,,,,,,,,,,,12994,,,,,,,,,,,,2000,,,,,,,1340,,,,,,,,,,700,,,24335,1717,,,,,,,,,,4580,83869
Saint Etienne de cuines,73231,,,,,4215,,3887,,,250,,,,,,,,,674,,,11500,,,,,,,,,,,,,,,,,,,,850,590,,,,,,,,,,,325,,,,,,,840,,,100,,,,,,,125,,,28818,550,,,,50,,,,600,,52683,106057
saint genix sur guiers,73236,,,180,,3938,,743,3811,2299,,,,,1955,1680,,,,23863,,,5117,,,23383,,1320,,,28950,,,,,2286,,600,,,,,4604,,314,,,,,,,4913,,,,,,,2170,10344,,1182,,,5520,1992,,,,29244,4751,1490,,2852,156590,9545,,,,29800,1754,,,1973,240,80855,450258
Saint georges les hurtieres,73237,,,417,,,,,,,,,,,,,,,,,,,,,,3939,,,,,1560,,,,,1440,,,,,,,259,,,,430,,,,,,,,,,,,,,,,,,6267,,,,,,350,,,,69242,950,,,,6817,,130,,101289,,,193090
Saint germain la chambotte,73238,,,,,,,1866,185,,,,,,,,,,,1067,,,,,,17465,,,,,106526,,220,,,,,,,,,,3785,,,,,,,,,730,,,,,,,,,,,,,,150,,,,,,,,,24317,,,,,452,,,,,,,156763
Saint girod,73239,,,,,,,,,,,,,,,,,,,2126,,,,,,,,,,,530,,,,,,,,,,,,8381,,,,,,,,,,,,,,,,,,,652,,,125,,,,,,2783,,,,29697,,,,,1104,,,,202,,,45600
saint hélène le lac,73240,,,315,,890,,6518,,54,,,,,,156,,,,1144,,,1473,,,191819,,,,,367,,,,,117,,,,,,,118366,,1361,160,,,,,,,,,16665,,,,,,3316,63,,,2319,,,,1825,3271,1610,,,2916,57434,,,,,4777,23236,,,2751,,2918,445841
sainte helene sur isère,73241,,,,,,,,,,,,,,,,,,,,,,820,,,1701,,,,,3190,,,,,,,,,,,,1150,,,,,,,,,,,,,,,,,,200,,,,2002,286,,,,1040,590,,,,62362,,,,,7262,1188,931,,51803,,3014,137539
Saint jean d'arvey,73243,,,1550,,,,716,,,,,,,,,,,,5935,783,655,2131,,,34150,,,,,2405,,,,,,,,,,,,56833,200,,,,,,,,,,,300,,,,,,336,,,,,,,,,,,,,,7537,,,,,,,,,,,7273,120804
Saint jean de belleville,73244,,,,,,,227,,,,,,,,,,,,155,,,700,,,,,,,,680,,,,,,,,,,,,,,,,,,804,2635,,,,,,,,,,,953,,,,,,,,,,,,,,269,,,,,,,,,,,2985,9408
Saint jean de chevelu,73245,,,,,,,1760,9442,25850,,,,,,4126,,,,11780,,,,,1865,131468,4586,65,,2128,79771,,,110,,3728,,50,,715,,,185565,,,654,,,19496,220,,,,,10044,,,,,,1600,,,,700,,,,,,,250,,701,44417,,,,,7671,2436,,,,,7060,558258
Saint jean de la porte,73247,,,1730,,,,33814,,,,,,,,,,,,1840,730,,45382,,,105086,,,,,263385,,,,,2487,,,,670,228,,18592,1160,3465,6779,505,,,,,,,,4124,,,,,,,,,,,,,,,,,,,,72214,276,,,,,535,,,,,9690,572692
Saint jean de maurienne,73248,,,1200,,1300,,59572,,700,1707,,,,,,,,,9950,,,48202,,,2400,,,,,250,,,,,4300,,,,,,,11725,10100,,,,,,200,,,,,17360,,,,,,,,,,800,,,,,,,,,,38435,,,,,200,,,,,,425,208826
Saint jeoire prieure,73249,,,,,,,12526,,,,,,,,,,,,,,,4070,,,356462,,,,,62877,,,,,,,,,,,,31570,,,625,,,,,,920,,,3813,190,,,,,,,,,400,,,,,,,,,,15890,,,,,175,10012,,,,,370,499900
saint leger,73252,,,,,,,4946,,,,,,,,,,,,,,,18116,,,780,,,,,3865,,,,,,,,,,,,8231,,,,,,,,,,,,49605,,,,,,240,,,,420,,,,,,2386,,,,48857,,,,,2432,,,,13626,,,153504
Saint marcel,73253,,,,,,,1150,,,,,,,,,,,,,,,169,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,91,,,,,,,,,,,743,2903
Saint marie D'alvey,73254,,,,,,,,,112,,,,,,,,,,11765,,,1465,,,2276,,,,,9935,378,,,,,,,140,,,,5147,,,,,,,,,300,,,,,,,,,,,,,400,,,,,2368,2787,800,,,30220,2260,,,,2505,,,,2140,,,74998
sainte marie de cuines,73255,,,,,,,2528,,,,,,,,,,,,219,,,219,,,,,,,,2527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219212,224705
Saint Martin d'arc,73256,,,,,,,,,,,,,,,,,,,851,,,,,,,,,,,432,,,,,,,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2491,,,,,,,,,,,7115,11226
Saint martin de la porte,73258,,,1732,,6941,,42831,,,7147,,1438,,,,2533,,,3400,,,52874,,,2333,,,,,2255,156,,,,,273,,,,,,591,3283,1332,,,,,469,,,,,11737,,,,,,9109,233,,,861,,,,,119,,,,,13460,,,,,575,81,,,50,67,34834,200714
Saint martin sur la chambre,73259,,,,,942,,12328,,,847,,,,,,,,,224,,,5945,,,108,,,,,1200,,,,,,,,,,,,,,282,,,,,,,,,,,,,,,,1242,,,,,,,,,156,,,,,19188,,,,,,315,,,,,52019,94796
Saint maurice de rotherens,73260,,,,,850,,434,910,865,,,,,,500,,,,10644,,350,5180,,,7896,,100,,,17059,,,,,,,,,,,,11514,,,,,,,,,,,,,,,,,420,672,,,,,,,,,800,300,500,,,18853,300,,,,,,,,,,4233,82380
saint michel de maurienne,73261,,,200,,1449,,9823,,,,,,,,,,,,527,,,15964,,,897,,,,,695,,,,,,,,,,,,903,4317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36973,,,,,,,,,,,29600,101348
Saint offenge dessous,73263,,,,,,,,,,,,,,,,,,,910,,,,,,,,,,,,,,,,,,,,,,,327,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,,,,6515,,,,,230,230,,,,,1990,10922
Saint ours,27265,,,,,,,222,,,,,,,,,,,,302,,,,,,,,,,,,,,,,,,,,,,,9629,,,,,,,,,375,,,,,,,,909,,,,,180,,,,,,150,,,,16836,,,,,7446,3980,,1347,550,,420,42346
Saint oyen,73266,,,505,,,,1485,,,,,,,,,,75,,,,,362,,,590,,,,,495,,,,,,,,,,,,200,100,,,,,,,,,,,,,,,,,4362,,,,,,,,,,,,,,,,,,,,,,,,,18364,26538
saint pancrace,73267,,,,,,,1067,,,,,,,,,,,,,,,3427,,,,,,,,,,,,,,,,,,,,590,,,,,,,,,,,,616,,,,,,,,,,,,,,,,,,,,502,,,,,,,,,,,6162,12364
saint paul sur isère,73268,,,,,100,,,,,,,,,,,,,,,,,268,,,1125,,,,,8620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,,,,1151,300,,,,,,1554,,840,34832,1945,,,,2719,,,,11116,,714,65589
Saint paul,73269,,,329,,3204,,1328,3415,760,,,,,,1166,,,,11392,,4430,610,,2415,35663,,,,,76670,,,200,,842,,,,,,,129716,,,,,,,,,360,,,,,,,,,14535,,,,,,,,,140,,245,,,40503,,,,,685,3518,,,,,39687,371813
saint pierre d'albigny,73270,,,2192,,3268,,73858,,833,430,,2781,,,1791,,,,15995,9467,296,144542,,,137117,,,,,118571,,252,,,3832,98,,,,,,29960,14496,15233,3107,2444,,,,,,,,1088,,,,,800,1688,,,,2758,348,,,699,1329,,8390,,1670,300574,17725,,,,1325,21062,,,160,375,190509,1131063
saint pierre d'alvey,73271,,,170,,465,,100,,,675,,,,,,,,,2898,,,1479,,,2621,,,,,1652,,,,,1146,,,,170,,,14512,,,,,,,,,,,,,,,,,,6165,475,,,7170,105,,1795,,714,2483,,206,,31766,379,,,,3990,,,,4121,,14053,99310
Saint pierre de belleville,73272,,,,,,,,,,,,,,,,,,,3712,,,3460,,,960,,,,,130,,,,,,,,,,,,3316,940,,,,,,,,,,,5231,,,,,,1225,,,,2370,,,,,260,1830,,,,23033,,,,,9212,,,,18907,,3160,77746
Saint pierre de curtille,73273,,,,,,,1586,1354,1484,200,,,,,2456,,,,6721,,,,,,29603,,,,,15127,,,,,680,,,,,,,82833,,,,,,,1002,,,,,,,,,,,4318,,,,,,,,,,,,,,6113,390,,,,,,,,,,4401,158268
Saint pierre de soucy,73276,,,344,,,,603,,,14,,,,,,,,,99,160,,2949,,,234908,,,,,180,,,192,,1106,,,,,,,124620,,740,,,,,,,,,,15936,,,,,,88,,,,1095,,,,888,,,512,,2202,20682,2080,,,,1451,3494,,,,,,414343
Saint remy,73278,,,2241,,2642,120,6774,,160,2112,,,,,,,,,1093,733,,33415,,,3278,,,,,1794,86,,,,,,,,,,,1085,1093,200,,105,,,210,,,700,,32392,,,,,,233,9708,,,1507,,,,,1874,872,215,85,,82624,2304,,,,2064,602,,,1990,,34325,228636
Saint Sulpice,73281,,,,,,,700,,,,,,,,20461,,,,2964,,,2300,,,3290,,,,,1001,,,,,,960,,,,,,18855,,,,,,530,,,,,,1000,,,,,,6130,855,,,3454,,,,,4150,660,1904,,,60549,320,,,,6531,120,,,200,,1000,137934
Saint Thibaud de Couz,73282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535,,,,,,,,,,,,1535
